datetime temp humidity pressure VOC pm2.5
23-08-07 00:23:04 28 67.6 837.4 4222.0 137
23-08-07 00:28:04 28 66.2 837.4 1425.0 2
23-08-07 00:33:07 28 64.7 837.3 1769.0 1
23-08-07 00:38:09 28 64.1 837.3 1990.0 0
23-08-07 00:43:12 28 63.8 837.2 2167.0 0
23-08-07 00:48:15 28 63.7 837.2 2316.0 0
23-08-07 00:53:17 28 63.6 837.1 2437.0 0
23-08-07 00:58:20 28 63.6 837.1 2567.0 0
23-08-07 01:03:23 28 63.6 837.0 2661.0 0
23-08-07 01:08:25 28 63.5 837.0 2746.0 0
23-08-07 01:13:28 28 63.5 836.9 3045.0 0
23-08-07 01:18:31 28 63.6 836.9 3139.0 1
23-08-07 01:23:33 28 63.6 836.8 3201.0 0
23-08-07 01:28:36 28 63.6 836.8 3286.0 0
23-08-07 01:33:39 28 63.7 836.7 3350.0 0
23-08-07 01:38:41 28 63.7 836.7 3417.0 0
23-08-07 01:43:44 28 63.8 836.7 3484.0 0
23-08-07 01:48:47 28 63.8 836.6 3547.0 0
23-08-07 01:53:49 28 63.9 836.6 3610.0 0
23-08-07 01:58:52 28 63.9 836.5 3666.0 0
23-08-07 02:03:55 28 63.9 836.5 3716.0 0
23-08-07 02:08:57 28 64.0 836.5 3769.0 0
23-08-07 02:14:00 28 64.1 836.4 3806.0 0
23-08-07 02:19:03 28 64.1 836.4 3862.0 0
23-08-07 02:24:05 28 64.1 836.3 3903.0 0
23-08-07 02:29:08 27 64.2 836.3 3940.0 0
23-08-07 02:34:10 27 64.2 836.3 3995.0 0
23-08-07 02:39:13 27 64.2 836.3 4030.0 0
23-08-07 02:44:16 27 64.3 836.3 4069.0 0
23-08-07 02:49:18 27 64.3 836.2 4108.0 0
23-08-07 02:54:21 27 64.4 836.2 4149.0 0
23-08-07 02:59:24 27 64.4 836.2 4190.0 0
23-08-07 03:04:26 27 64.4 836.2 4206.0 0
23-08-07 03:09:29 27 64.5 836.2 4252.0 0
23-08-07 03:14:32 27 64.5 836.1 4285.0 0
23-08-07 03:19:34 27 64.5 836.1 4302.0 0
23-08-07 03:24:37 27 64.6 836.1 4332.0 0
23-08-07 03:29:40 27 64.6 836.1 4367.0 0
23-08-07 03:34:42 27 64.6 836.0 4398.0 0
23-08-07 03:39:45 27 64.7 836.0 4434.0 0
23-08-07 03:44:48 27 64.7 835.9 4452.0 0
23-08-07 03:49:51 27 64.7 835.9 4474.0 0
23-08-07 03:54:53 27 64.8 835.9 4478.0 0
23-08-07 03:59:56 27 64.8 835.9 4500.0 0
23-08-07 04:04:59 27 64.8 835.8 4526.0 0
23-08-07 04:10:01 27 64.8 835.8 4537.0 0
23-08-07 04:15:04 27 64.9 835.8 4563.0 0
23-08-07 04:20:07 27 64.9 835.8 4582.0 0
23-08-07 04:25:09 27 64.9 835.8 4605.0 0
23-08-07 04:30:12 27 64.9 835.7 4633.0 0
23-08-07 04:35:15 27 64.9 835.7 4644.0 0
23-08-07 04:40:17 27 65.0 835.7 4672.0 0
23-08-07 04:45:20 27 65.0 835.7 4688.0 0
23-08-07 04:50:23 27 65.0 835.7 4700.0 0
23-08-07 04:55:25 27 65.0 835.6 4716.0 0
23-08-07 05:00:28 27 65.0 835.6 4737.0 0
23-08-07 05:05:30 27 65.0 835.6 4733.0 0
23-08-07 05:10:33 27 65.1 835.6 4749.0 0
23-08-07 05:15:36 27 65.1 835.6 4766.0 0
23-08-07 05:20:38 27 65.1 835.6 4770.0 0
23-08-07 05:25:41 27 65.1 835.7 4803.0 0
23-08-07 05:30:44 27 65.2 835.7 4812.0 0
23-08-07 05:35:46 27 65.2 835.8 4833.0 0
23-08-07 05:40:49 27 65.2 835.8 4841.0 0
23-08-07 05:45:52 27 65.2 835.8 4854.0 0
23-08-07 05:50:54 27 65.2 835.9 4863.0 0
23-08-07 05:55:57 27 65.3 835.9 4880.0 0
23-08-07 06:01:00 27 65.3 836.0 4898.0 0
23-08-07 06:06:02 27 65.3 836.0 4911.0 0
23-08-07 06:11:05 27 65.4 836.1 4915.0 0
23-08-07 06:16:08 27 65.4 836.1 4933.0 0
23-08-07 06:21:10 27 65.4 836.1 4937.0 0
23-08-07 06:26:13 27 65.4 836.2 4955.0 0
23-08-07 06:31:15 27 65.4 836.2 4951.0 0
23-08-07 06:36:18 27 65.4 836.2 4951.0 0
