datetime temp(C) humidity(%) pressure(hPa) VOC(KOhms) pm2.5
23-08-10 09:48:07 24 79.1 1013.9 8124.0 5
23-08-10 09:53:07 24 77.8 1013.9 1750.0 5
23-08-10 09:58:08 24 75.7 1013.9 2228.0 5
23-08-10 10:03:08 25 74.9 1013.9 2593.0 40
23-08-10 10:08:09 25 74.4 1013.9 3062.0 22
23-08-10 10:13:10 26 74.2 1013.9 3274.0 10
23-08-10 10:18:10 26 74.8 1013.9 3412.0 25
23-08-10 10:23:11 27 74.9 1013.9 3486.0 120
23-08-10 10:28:11 27 74.5 1013.9 3545.0 127
23-08-10 10:33:12 28 74.5 1013.8 3587.0 155
23-08-10 10:38:13 28 74.6 10!2.8 3639.0 235
23-08-10 10:43:13 29 74.0 1013.8 3696.0 355
23-08-10 10:48:14 29 73.6 1013.8 3721.0 265
23-08-10 10:53:15 29 72.8 1013.8 3772.0 65
23-08-10 10:58:16 29 72.3 1013.7 3854.0 107
23-08-10 11:03:16 30 73.4 1013.7 3879.0 172
23-08-10 11:08:17 30 73.6 1013.7 3873.0 130
23-08-10 11:13:18 30 72.5 1013.7 3917.0 42
23-08-10 11:18:18 30 71.3 1013.6 3989.0 37
23-08-10 11:23:19 31 70.8 1013.6 4033.0 15
