datetime temp humidity pressure VOC pm2.5
2023-08-07 13:17:12 33 100.0 691.8 806517.0 13
2023-08-07 13:22:14 33 100.0 691.8 806517.0 9
2023-08-07 13:27:14 29 66.2 835.0 125466.0 6
2023-08-07 13:32:14 29 66.3 835.0 155960.0 6
2023-08-07 18:41:27 26 75.8 835.0 104361.0 11
2023-08-07 18:46:29 26 75.8 835.0 110463.0 5
2021-01-01 00:00:08 24 78.2 1015.6 153539.0 0
2021-01-01 00:05:09 24 78.3 1015.6 161194.0 0
2021-01-01 00:10:09 24 76.9 1015.6 221038.0 0
2021-01-01 00:15:09 25 75.4 1015.6 239624.0 0
2021-01-01 00:20:09 25 74.5 1015.7 252819.0 0
2021-01-01 00:25:10 26 73.6 1015.7 263080.0 0
2021-01-01 00:30:10 26 73.0 1015.7 272178.0 0
2021-01-01 00:35:10 27 72.5 1015.7 279071.0 0
2021-01-01 00:40:10 27 72.0 1015.7 285580.0 0
2021-01-01 00:45:10 28 71.6 1015.7 290857.0 0
2021-01-01 00:50:10 28 71.2 1015.7 296332.0 0
2021-01-01 00:55:10 28 70.9 1015.7 300644.0 0
2021-01-01 01:00:11 28 70.6 1015.7 304522.0 0
2021-01-01 01:05:11 28 70.3 1015.7 307353.0 0
2021-01-01 01:10:11 29 70.1 1015.7 310237.0 0
2021-01-01 01:15:11 29 70.0 1015.7 313177.0 0
2021-01-01 01:20:11 29 69.8 1015.7 314967.0 0
2021-01-01 01:25:11 29 69.6 1015.7 317997.0 0
2021-01-01 01:30:12 29 69.5 1015.7 319225.0 0
2021-01-01 01:35:12 29 69.1 1015.7 321710.0 0
2021-01-01 01:40:12 29 68.9 1015.7 322652.0 0
2021-01-01 01:45:12 29 68.7 1015.6 322968.0 0
2021-01-01 01:50:12 29 68.7 1015.6 323600.0 0
2021-01-01 01:55:12 29 68.5 1015.6 324553.0 0
2021-01-01 02:00:12 29 68.3 1015.6 325192.0 0
2021-01-01 02:05:13 29 68.2 1015.6 325833.0 0
2021-01-01 02:10:13 29 68.0 1015.5 325192.0 0
2021-01-01 02:15:13 30 67.9 1015.5 325192.0 0
2021-01-01 02:20:13 30 67.8 1015.5 324235.0 0
2021-01-01 02:25:13 30 67.7 1015.5 323600.0 0
2021-01-01 02:30:14 30 67.6 1015.5 323600.0 0
2021-01-01 02:35:14 30 67.5 1015.5 323600.0 0
2021-01-01 02:40:14 30 67.4 1015.5 323283.0 0
2021-01-01 02:45:14 30 67.3 1015.5 321398.0 0
2021-01-01 02:50:14 30 67.3 1015.4 321398.0 0
2021-01-01 02:55:14 30 67.2 1015.4 321085.0 0
2021-01-01 03:00:15 30 67.1 1015.4 320463.0 0
2021-01-01 03:05:15 30 67.1 1015.3 319843.0 0
2021-01-01 03:10:15 30 67.0 1015.3 318610.0 0
2021-01-01 03:15:15 30 66.9 1015.3 317997.0 0
2021-01-01 03:20:15 30 66.8 1015.2 317082.0 0
2021-01-01 03:25:16 30 66.8 1015.2 317082.0 0
2021-01-01 03:30:16 30 66.7 1015.2 315568.0 0
2021-01-01 03:35:16 30 66.7 1015.1 315267.0 0
2021-01-01 03:40:16 30 66.6 1015.1 314667.0 0
2021-01-01 03:45:16 30 66.5 1015.0 314368.0 0
2021-01-01 03:50:16 30 66.5 1015.0 313771.0 0
2021-01-01 03:55:17 30 66.4 1014.9 312880.0 0
2021-01-01 04:00:17 30 66.4 1014.9 312584.0 0
2021-01-01 04:05:17 30 66.3 1014.8 312289.0 0
2021-01-01 04:10:17 30 66.3 1014.8 312584.0 0
2021-01-01 04:15:17 30 66.2 1014.8 311994.0 0
2021-01-01 04:20:17 30 66.2 1014.7 311406.0 0
2021-01-01 04:25:17 30 66.2 1014.7 310821.0 0
2021-01-01 04:30:18 30 66.1 1014.6 309656.0 0
2021-01-01 04:35:18 30 66.1 1014.6 308213.0 0
2021-01-01 04:40:18 30 66.1 1014.6 307353.0 0
2021-01-01 04:45:18 30 66.0 1014.5 305084.0 0
2021-01-01 04:50:18 30 66.0 1014.5 304802.0 0
2021-01-01 04:55:18 30 66.0 1014.4 303682.0 0
2021-01-01 05:00:19 30 66.0 1014.4 302018.0 0
2021-01-01 05:05:19 30 65.9 1014.3 301192.0 0
2021-01-01 05:10:19 30 65.9 1014.2 299283.0 0
2021-01-01 05:15:19 30 65.9 1014.1 297935.0 0
2021-01-01 05:20:19 30 65.8 1014.1 296865.0 0
2021-01-01 05:25:19 30 65.8 1014.0 295802.0 0
2021-01-01 05:30:19 30 65.8 1014.0 293961.0 0
2021-01-01 05:35:20 30 65.7 1013.9 292919.0 0
2021-01-01 05:40:20 30 65.7 1013.9 291370.0 0
2021-01-01 05:45:20 30 65.7 1013.9 289330.0 0
2021-01-01 05:50:20 30 65.6 1013.9 287568.0 0
2021-01-01 05:55:20 30 65.6 1013.9 285334.0 0
2021-01-01 06:00:21 30 65.5 1013.8 283620.0 0
2021-01-01 06:05:21 30 65.5 1013.8 280730.0 0
2021-01-01 06:10:21 30 65.5 1013.8 279307.0 0
2021-01-01 06:15:21 30 65.5 1013.8 277665.0 0
2021-01-01 06:20:21 30 65.5 1013.8 276503.0 0
2021-01-01 06:25:22 30 65.5 1013.8 274665.0 0
2021-01-01 06:30:22 30 65.4 1013.8 272852.0 0
2021-01-01 06:35:22 30 65.4 1013.8 271284.0 0
2021-01-01 06:40:22 30 65.4 1013.8 270176.0 0
2021-01-01 06:45:22 30 65.3 1013.8 269076.0 0
2021-01-01 06:50:23 30 65.3 1013.8 266688.0 0
2021-01-01 06:55:23 30 65.3 1013.8 265404.0 0
2021-01-01 07:00:23 30 65.3 1013.8 263710.0 0
2021-01-01 07:05:23 30 65.3 1013.8 262871.0 0
2021-01-01 07:10:23 30 65.3 1013.8 261209.0 0
2021-01-01 07:15:23 30 65.3 1013.9 258351.0 0
2021-01-01 07:20:23 30 65.2 1013.9 256746.0 0
2021-01-01 07:25:24 30 65.2 1013.9 255555.0 0
2021-01-01 07:30:24 30 65.2 1013.9 253984.0 0
2021-01-01 07:35:24 30 65.2 1013.9 252048.0 0
2021-01-01 07:40:24 30 65.2 1014.0 251282.0 0
2021-01-01 07:45:24 30 65.2 1014.0 250141.0 0
2021-01-01 07:50:24 30 65.2 1014.0 249010.0 0
2021-01-01 07:55:25 30 65.1 1014.1 248076.0 0
2021-01-01 08:00:25 30 65.1 1014.1 246780.0 0
2021-01-01 08:05:25 30 65.1 1014.1 245862.0 0
2021-01-01 08:10:25 30 65.1 1014.2 245679.0 0
2021-01-01 08:15:25 30 65.1 1014.2 244408.0 0
2021-01-01 08:20:25 30 65.0 1014.3 244047.0 0
2021-01-01 08:25:26 30 65.0 1014.4 242614.0 0
2021-01-01 08:30:26 30 65.0 1014.4 241904.0 0
2021-01-01 08:35:26 30 65.0 1014.5 241198.0 0
2021-01-01 08:40:26 30 65.0 1014.6 239972.0 0
2021-01-01 08:45:26 30 64.9 1014.6 239104.0 0
2021-01-01 08:50:26 30 64.9 1014.7 237729.0 0
2021-01-01 08:55:27 30 64.9 1014.8 236877.0 0
2021-01-01 09:00:27 30 64.9 1014.9 236369.0 0
2021-01-01 09:05:27 30 64.8 1015.0 235192.0 0
2021-01-01 09:10:27 30 64.8 1015.1 235527.0 0
2021-01-01 09:15:27 30 64.8 1015.2 234691.0 0
2021-01-01 09:20:28 30 64.7 1015.3 234524.0 0
2021-01-01 09:25:28 30 64.7 1015.4 233695.0 0
2021-01-01 09:30:28 30 64.7 1015.5 233365.0 0
2021-01-01 09:35:28 30 64.7 1015.6 232544.0 0
2021-01-01 09:40:28 30 64.6 1015.7 232218.0 0
2021-01-01 09:45:28 30 64.6 1015.8 231567.0 0
2021-01-01 09:50:29 30 64.6 1015.9 231081.0 0
2021-01-01 09:55:29 30 64.6 1016.0 230920.0 0
2021-01-01 10:00:29 30 64.6 1016.1 230437.0 0
2021-01-01 10:05:29 30 64.5 1016.2 229637.0 0
2021-01-01 10:10:29 30 64.5 1016.2 229318.0 0
2021-01-01 10:15:29 30 64.5 1016.3 228684.0 0
2021-01-01 10:20:30 30 64.5 1016.3 228842.0 0
2021-01-01 10:25:30 30 64.5 1016.4 227895.0 0
2021-01-01 10:30:30 30 64.5 1016.4 228053.0 0
2021-01-01 10:35:30 30 64.5 1016.5 227582.0 0
2021-01-01 10:40:30 30 64.4 1016.5 226180.0 0
2021-01-01 10:45:30 30 64.4 1016.6 224796.0 0
2021-01-01 10:50:31 30 64.4 1016.6 223277.0 0
2021-01-01 10:55:31 30 64.4 1016.7 221780.0 0
2021-01-01 11:00:31 30 64.3 1016.7 220302.0 0
2021-01-01 11:05:31 30 64.3 1016.8 218988.0 0
2021-01-01 11:10:31 30 64.4 1016.8 217404.0 0
2021-01-01 11:15:31 30 64.3 1016.8 217404.0 0
2021-01-01 11:20:31 30 64.3 1016.9 217404.0 0
2021-01-01 11:25:32 30 64.2 1016.9 216976.0 0
2021-01-01 11:30:32 30 64.1 1017.0 217118.0 0
2021-01-01 11:35:32 30 64.0 1017.0 217547.0 0
2021-01-01 11:40:32 30 64.0 1017.1 218121.0 0
2021-01-01 11:45:32 30 63.9 1017.1 218843.0 0
2021-01-01 11:50:32 30 63.9 1017.2 219570.0 0
2021-01-01 11:55:33 30 63.9 1017.2 220155.0 0
2021-01-01 12:00:33 30 63.8 1017.2 220302.0 0
2021-01-01 12:05:33 30 63.8 1017.2 221186.0 0
2021-01-01 12:10:33 30 63.8 1017.3 221631.0 0
2021-01-01 12:15:33 30 63.7 1017.3 222078.0 0
2021-01-01 12:20:34 30 63.7 1017.3 222826.0 0
2021-01-01 12:25:34 30 63.8 1017.4 222976.0 0
2021-01-01 00:00:08 24 72.5 1017.6 138261.0 0
