datetime temp(C) humidity(%) pressure(hPa) VOC(KOhms) pm2.5
23-08-10 09:48:10 24 78.7 1013.6 188948.0 0
23-08-10 09:53:11 24 78.7 1013.6 196589.0 0
23-08-10 09:58:12 24 77.7 1013.6 249386.0 0
23-08-10 10:03:12 25 76.1 1013.6 261209.0 0
23-08-10 10:08:13 25 75.1 1013.6 272402.0 0
23-08-10 10:13:13 26 74.0 1013.6 283377.0 0
23-08-10 10:18:14 27 73.2 1013.6 287818.0 7
23-08-10 10:23:14 27 72.7 1013.6 296067.0 5
23-08-10 10:28:14 28 71.4 1013.6 305648.0 6
23-08-10 10:33:15 29 70.5 1013.6 315568.0 8
23-08-10 10:38:15 29 69.9 1013.6 322024.0 3
23-08-10 10:43:16 30 68.6 1013.5 336787.0 0
23-08-10 10:48:16 30 67.3 1013.5 349980.0 1
23-08-10 10:53:16 31 67.4 1013.5 336102.0 14
23-08-10 10:58:17 31 66.5 1013.5 337131.0 2
23-08-10 11:03:17 31 66.8 1013.4 336444.0 2
23-08-10 11:08:18 32 67.2 1013.4 333391.0 1
23-08-10 11:13:18 32 66.3 1013.4 319843.0 0
23-08-10 11:18:19 32 65.0 1013.3 310821.0 0
23-08-10 11:23:19 32 64.7 1013.3 307926.0 2
23-08-10 12:04:42 30 69.0 1007.5 139639.0 0
23-08-10 12:09:44 30 68.9 1007.5 146578.0 0
23-08-10 12:10:17 30 68.0 1007.6 109528.0 0
23-08-10 12:10:27 30 67.8 1007.5 82557.0 0
23-08-10 12:10:45 30 67.6 1007.5 67999.0 2
