datetime temp(C) humidity(%) pressure(hPa) VOC(KOhms) pm2.5_std(ug/m3) pm2.5_env(ug/m3)
23-08-11 20:07:28 28 64.4 1005.8 136576.0 1 1
23-08-11 20:12:30 28 64.3 1005.8 141639.0 4 4
23-08-11 20:17:30 28 61.0 1005.8 194736.0 0 0
23-08-11 20:22:31 28 59.7 1005.8 212512.0 0 0
23-08-11 20:27:31 29 59.1 1005.9 226490.0 0 0
23-08-11 20:32:32 29 58.7 1005.9 237047.0 0 0
23-08-11 20:37:32 29 58.6 1005.9 246780.0 0 0
23-08-11 20:42:32 29 58.5 1006.0 254375.0 0 0
23-08-11 20:47:33 29 58.4 1006.0 261003.0 0 0
23-08-11 20:52:33 29 58.3 1006.0 267335.0 0 0
23-08-11 20:57:34 30 58.2 1006.0 273077.0 0 0
23-08-12 11:30:43 24 75.4 1026.0 201625.0 0 0
23-08-12 11:35:45 24 75.5 1026.0 208491.0 0 0
23-08-12 11:40:45 25 74.3 1026.0 254767.0 0 0
23-08-12 11:45:46 25 72.5 1025.9 262038.0 0 0
23-08-12 11:50:46 26 71.3 1025.9 266259.0 0 0
23-08-12 11:55:47 27 70.4 1025.9 270840.0 0 0
23-08-12 12:00:47 27 69.6 1025.8 273077.0 0 0
23-08-12 12:05:48 28 69.0 1025.8 276503.0 0 0
23-08-12 12:10:48 28 68.6 1025.7 278836.0 0 0
23-08-12 12:15:48 29 68.2 1025.7 281927.0 0 0
23-08-12 12:20:49 29 67.9 1025.6 284108.0 0 0
23-08-12 12:25:49 29 67.7 1025.6 286571.0 0 0
23-08-12 12:30:50 30 67.4 1025.6 288069.0 0 0
23-08-12 12:35:50 30 67.2 1025.5 290857.0 0 0
23-08-12 12:40:50 30 66.9 1025.5 292401.0 0 0
23-08-12 12:45:51 30 66.7 1025.4 293700.0 0 0
23-08-12 12:50:51 30 66.6 1025.3 294484.0 0 0
23-08-12 12:55:52 31 66.5 1025.2 295538.0 0 0
23-08-12 13:00:52 31 66.3 1025.2 296067.0 0 0
23-08-12 13:05:53 31 66.3 1025.1 296067.0 0 0
23-08-12 13:10:53 31 66.1 1025.1 295802.0 0 0
23-08-12 13:15:53 31 65.9 1025.0 297131.0 0 0
23-08-12 13:20:54 31 66.0 1024.9 295802.0 0 0
23-08-12 13:25:54 31 65.8 1024.9 294747.0 0 0
23-08-12 13:30:55 31 65.5 1024.9 295538.0 0 0
23-08-12 13:35:55 31 65.3 1024.8 294747.0 0 0
23-08-12 13:40:56 31 65.0 1024.7 294222.0 0 0
23-08-12 13:45:56 31 65.0 1024.6 294222.0 0 0
23-08-12 13:50:57 32 64.8 1024.6 293961.0 0 0
23-08-12 13:55:57 32 64.7 1024.5 293179.0 0 0
23-08-12 14:00:58 32 64.7 1024.4 291884.0 0 0
23-08-12 14:05:58 32 64.6 1024.3 289583.0 0 0
23-08-12 14:10:59 32 64.6 1024.3 288069.0 0 0
23-08-12 14:15:59 32 64.4 1024.2 285580.0 1 1
23-08-12 14:21:00 32 64.2 1024.1 285827.0 0 0
23-08-12 14:26:00 32 64.1 1024.1 285827.0 0 0
23-08-12 14:31:01 32 64.0 1024.0 285580.0 0 0
23-08-12 14:36:01 32 64.0 1023.9 284352.0 0 0
23-08-14 11:35:59 23 81.6 1023.1 200281.0 0 0
