datetime temp(C) humidity(%) pressure(hPa) VOC(KOhms) pm2.5_std(ug/m3) pm2.5_env(ug/m3)
23-08-11 20:08:41 29 57.3 1006.0 7602.0 17 17
23-08-11 20:13:41 29 56.9 1006.0 1723.0 5 5
23-08-11 20:18:42 29 56.4 1006.0 2189.0 10 10
23-08-11 20:23:43 29 56.3 1006.1 2576.0 7 7
23-08-11 20:28:44 29 56.2 1006.1 3086.0 12 12
23-08-11 20:33:44 29 56.2 1006.1 3366.0 10 10
23-08-11 20:38:45 29 56.3 1006.2 3603.0 5 5
23-08-11 20:43:46 29 56.4 1006.2 3814.0 7 7
23-08-11 20:48:46 29 56.5 1006.2 4003.0 15 15
23-08-11 20:53:47 29 56.5 1006.2 4155.0 10 10
23-08-11 20:58:47 29 56.6 1006.3 4309.0 5 5
23-08-12 11:30:56 24 73.2 1026.2 9667.0 5 5
23-08-12 11:35:57 25 72.6 1026.2 2099.0 30 30
23-08-12 11:40:57 25 70.8 1026.1 2633.0 15 15
23-08-12 11:45:58 26 69.7 1026.1 3211.0 25 25
23-08-12 11:50:59 26 68.9 1026.1 3500.0 27 27
23-08-12 11:55:59 27 68.3 1026.0 3708.0 12 12
23-08-12 12:01:00 27 67.9 1026.0 3881.0 5 5
23-08-12 12:06:01 28 67.6 1026.0 4003.0 15 15
23-08-12 12:11:01 28 67.3 1025.9 4139.0 32 32
23-08-12 12:16:02 28 67.1 1025.9 4226.0 12 12
23-08-12 12:21:03 29 66.9 1025.9 4298.0 12 12
23-08-12 12:26:03 29 66.7 1025.8 4374.0 20 20
23-08-12 12:31:04 29 66.6 1025.8 4434.0 37 37
23-08-12 12:36:04 29 66.4 1025.7 4496.0 12 12
23-08-12 12:41:05 29 66.3 1025.7 4533.0 32 32
23-08-12 12:46:06 30 66.1 1025.6 4563.0 17 17
23-08-12 12:51:07 30 66.1 1025.5 4598.0 32 32
23-08-12 12:56:07 30 66.0 1025.4 4617.0 15 15
23-08-12 13:01:08 30 65.3 1025.4 4629.0 17 17
23-08-12 13:06:09 30 65.4 1025.3 4668.0 22 22
23-08-12 13:11:09 30 65.4 1025.2 4704.0 12 12
23-08-12 13:16:10 30 65.4 1025.2 4733.0 12 12
23-08-12 13:21:10 30 65.4 1025.1 4766.0 12 12
23-08-12 13:26:11 30 65.3 1025.1 4795.0 15 15
23-08-12 13:31:12 31 65.1 1025.1 4833.0 10 10
23-08-12 13:36:12 31 64.9 1025.0 4880.0 5 5
23-08-12 13:41:13 31 64.7 1024.9 4902.0 15 15
23-08-12 13:46:14 31 64.8 1024.8 4920.0 27 27
23-08-12 13:51:14 31 64.6 1024.7 4906.0 135 107
23-08-12 13:56:15 31 64.5 1024.7 4850.0 745 495
23-08-12 14:01:16 31 64.4 1024.6 4850.0 452 300
23-08-12 14:06:16 31 64.3 1024.5 4837.0 265 175
23-08-12 14:11:17 31 64.3 1024.4 4820.0 557 370
23-08-12 14:16:18 31 64.1 1024.4 4880.0 247 162
23-08-12 14:21:19 31 63.9 1024.3 4929.0 137 110
23-08-12 14:26:19 31 63.9 1024.2 4969.0 177 125
23-08-12 14:31:20 31 63.8 1024.1 4991.0 120 100
23-08-12 14:36:21 31 63.8 1024.1 4964.0 137 110
23-08-12 14:41:21 31 63.8 1024.0 4969.0 220 145
23-08-12 14:46:22 31 63.7 1023.9 5051.0 75 75
23-08-14 11:45:10 23 85.4 1023.4 8528.0 7 7
